script,ablation_name,seed,return_code,duration_seconds,top1_cost,top1_nfev,top1_status,model_eval,residual_calls,objective_calls,T_fit_total,T_global,T_local,SSE_raw,RMSE_raw,AIC_raw,BIC_raw
CurVer.py,,0,0,70.094,1540.1,73,2,18911,18911,7440,5.439,1.303,3.998,54506400.0,130.921,31026.43,31099.206
ablation_de_only.py,DE only,0,0,35.046,4692.2,28800,True,28801,28801,28800,9.854,9.733,0.0,54599300.0,131.033,31031.848,31104.623
ablation_ga_ls.py,GA + LS,0,0,70.063,2084.75,66,2,7963,7963,7320,1.685,1.292,0.286,133512000.0,204.902,33875.306,33948.082
ablation_ls_only.py,LS only,0,0,80.141,2084.75,68,2,693,693,0,0.418,0.0,0.284,133512000.0,204.902,33875.312,33948.088
ablation_no_freq_weights.py,No frequency weights,0,0,90.109,1025.65,43,2,14035,14035,7440,13.536,1.426,11.978,43410100.0,116.837,30302.583,30375.359
ablation_no_reim_scaling.py,No Re/Im separate scaling,0,0,100.141,37674600.0,38,2,14830,14830,7440,15.482,1.411,13.941,52797600.0,128.853,30925.141,30997.917
CurVer.py,,1,0,85.093,1540.1,37,2,18198,18198,7440,22.26,1.428,20.703,54504600.0,130.919,31026.325,31099.101
ablation_de_only.py,DE only,1,0,60.094,9519.02,33360,True,33361,33361,33360,16.349,16.237,0.0,129034000.0,201.437,33766.826,33839.601
ablation_ga_ls.py,GA + LS,1,0,85.172,2084.75,65,2,7974,7974,7320,1.846,1.424,0.303,133512000.0,204.902,33875.306,33948.081
ablation_ls_only.py,LS only,1,0,80.125,2084.75,68,2,693,693,0,0.386,0.0,0.277,133512000.0,204.902,33875.312,33948.088
ablation_no_freq_weights.py,No frequency weights,1,0,90.187,1487.21,29,2,15980,15980,7440,17.099,1.411,15.559,99504300.0,176.892,32940.417,33013.193
ablation_no_reim_scaling.py,No Re/Im separate scaling,1,0,100.157,37674600.0,42,2,18731,18731,7440,21.917,1.386,20.404,52797500.0,128.853,30925.134,30997.91
CurVer.py,,2,0,90.109,1540.1,52,2,20750,20750,7440,29.895,1.436,28.323,54507700.0,130.923,31026.507,31099.282
ablation_de_only.py,DE only,2,0,65.141,97521.5,11040,True,11041,11041,11040,2.203,2.095,0.0,1146780000.0,600.518,40713.956,40786.731
ablation_ga_ls.py,GA + LS,2,0,80.125,2084.75,46,2,7775,7775,7320,1.677,1.324,0.245,133512000.0,204.902,33875.304,33948.079
ablation_ls_only.py,LS only,2,0,75.109,2084.75,68,2,693,693,0,0.448,0.0,0.338,133512000.0,204.902,33875.312,33948.088
ablation_no_freq_weights.py,No frequency weights,2,0,110.172,1025.65,23,2,18537,18537,7440,11.588,1.451,10.008,43410200.0,116.837,30302.586,30375.361
ablation_no_reim_scaling.py,No Re/Im separate scaling,2,0,105.172,64596300.0,67,2,18405,18405,7440,24.508,1.616,22.724,123702000.0,197.231,33632.617,33705.392
CurVer.py,,3,0,85.14,1540.1,32,2,16931,16931,7440,22.304,1.567,20.586,54507600.0,130.923,31026.504,31099.28
ablation_de_only.py,DE only,3,0,75.125,98620.3,21840,True,21841,21841,21840,10.246,10.131,0.0,1140760000.0,598.941,40697.235,40770.011
ablation_ga_ls.py,GA + LS,3,0,85.141,2084.75,48,2,7813,7813,7320,1.69,1.352,0.221,133512000.0,204.902,33875.309,33948.085
ablation_ls_only.py,LS only,3,0,80.109,2084.75,68,2,693,693,0,0.457,0.0,0.301,133512000.0,204.902,33875.312,33948.088
ablation_no_freq_weights.py,No frequency weights,3,0,95.204,1025.65,40,2,14045,14045,7440,13.81,1.42,12.248,43410100.0,116.837,30302.583,30375.358
ablation_no_reim_scaling.py,No Re/Im separate scaling,3,0,100.156,37674600.0,48,2,17534,17534,7440,21.332,1.391,19.803,52793800.0,128.848,30924.912,30997.687
CurVer.py,,4,0,85.172,1540.1,77,2,18262,18262,7440,23.199,1.412,21.655,54501900.0,130.916,31026.169,31098.944
ablation_de_only.py,DE only,4,0,75.125,4691.93,34080,True,34081,34081,34080,18.704,18.589,0.0,54432000.0,130.832,31022.089,31094.864
ablation_ga_ls.py,GA + LS,4,0,85.172,2084.75,45,2,7786,7786,7320,1.785,1.456,0.204,133512000.0,204.902,33875.298,33948.073
ablation_ls_only.py,LS only,4,0,80.14,2084.75,68,2,693,693,0,0.405,0.0,0.281,133512000.0,204.902,33875.312,33948.088
ablation_no_freq_weights.py,No frequency weights,4,0,90.172,1025.65,45,2,17293,17293,7440,8.698,1.414,7.148,43410000.0,116.837,30302.575,30375.35
ablation_no_reim_scaling.py,No Re/Im separate scaling,4,0,105.219,37674600.0,49,2,18415,18415,7440,22.479,1.374,20.971,52795100.0,128.85,30924.993,30997.769
CurVer.py,,5,0,85.109,1540.1,40,2,17871,17871,7440,21.97,1.421,20.418,54506300.0,130.921,31026.426,31099.201
ablation_de_only.py,DE only,5,0,85.172,90690.5,17520,True,17521,17521,17520,6.756,6.641,0.0,1167770000.0,605.99,40771.654,40844.429
ablation_ga_ls.py,GA + LS,5,0,85.125,7220.69,200,0,9273,9273,7320,2.508,1.368,1.02,1291210000.0,637.213,41091.183,41163.958
ablation_ls_only.py,LS only,5,0,80.094,2084.75,68,2,693,693,0,0.42,0.0,0.294,133512000.0,204.902,33875.312,33948.088
ablation_no_freq_weights.py,No frequency weights,5,0,100.187,1025.65,39,2,13434,13434,7440,12.056,1.409,10.515,43410100.0,116.837,30302.579,30375.355
ablation_no_reim_scaling.py,No Re/Im separate scaling,5,0,105.11,37674600.0,40,2,16917,16917,7440,18.765,1.431,17.201,52795300.0,128.85,30925.001,30997.776
CurVer.py,,6,0,80.125,1540.1,71,2,16448,16448,7440,17.928,1.379,16.418,54506700.0,130.922,31026.451,31099.226
ablation_de_only.py,DE only,6,0,95.125,90715.1,15360,True,15361,15361,15360,5.924,5.8,0.0,1169230000.0,606.368,40775.615,40848.391
ablation_ga_ls.py,GA + LS,6,0,85.14,2084.75,69,2,8002,8002,7320,1.842,1.432,0.27,133512000.0,204.902,33875.3,33948.075
ablation_ls_only.py,LS only,6,0,80.172,2084.75,68,2,693,693,0,0.421,0.0,0.301,133512000.0,204.902,33875.312,33948.088
ablation_no_freq_weights.py,No frequency weights,6,0,100.188,1025.65,41,2,15808,15808,7440,17.212,1.418,15.66,43410000.0,116.837,30302.577,30375.352
ablation_no_reim_scaling.py,No Re/Im separate scaling,6,0,95.156,37674600.0,30,2,15267,15267,7440,16.969,1.48,15.348,52796300.0,128.851,30925.062,30997.838
CurVer.py,,7,0,85.125,1540.1,52,2,17539,17539,7440,21.495,1.432,19.925,54504600.0,130.919,31026.326,31099.101
ablation_de_only.py,DE only,7,0,60.109,81537.4,18240,True,18241,18241,18240,7.227,7.091,0.0,814321000.0,506.039,39625.266,39698.042
ablation_ga_ls.py,GA + LS,7,0,85.141,2084.75,61,2,7922,7922,7320,1.66,1.297,0.251,133512000.0,204.902,33875.3,33948.076
ablation_ls_only.py,LS only,7,0,80.125,2084.75,68,2,693,693,0,0.429,0.0,0.316,133512000.0,204.902,33875.312,33948.088
ablation_no_freq_weights.py,No frequency weights,7,0,115.172,1487.21,77,2,15860,15860,7440,18.09,1.421,16.536,99505100.0,176.892,32940.443,33013.219
ablation_no_reim_scaling.py,No Re/Im separate scaling,7,0,90.172,64596300.0,88,2,17667,17667,7440,20.12,1.41,18.578,123702000.0,197.231,33632.616,33705.392
CurVer.py,,8,0,80.109,1540.1,73,2,17866,17866,7440,20.337,1.399,18.809,54506400.0,130.921,31026.429,31099.205
ablation_de_only.py,DE only,8,0,80.187,9519.9,22560,True,22561,22561,22560,9.558,9.447,0.0,128641000.0,201.13,33757.118,33829.894
ablation_ga_ls.py,GA + LS,8,0,80.156,2084.75,45,2,7786,7786,7320,1.69,1.346,0.231,133512000.0,204.902,33875.31,33948.086
ablation_ls_only.py,LS only,8,0,75.157,2084.75,68,2,693,693,0,0.374,0.0,0.252,133512000.0,204.902,33875.312,33948.088
ablation_no_freq_weights.py,No frequency weights,8,0,105.172,1025.65,14,2,20375,20375,7440,26.255,1.382,24.741,43410100.0,116.837,30302.578,30375.354
ablation_no_reim_scaling.py,No Re/Im separate scaling,8,0,95.171,37674600.0,55,2,16341,16341,7440,18.36,1.395,16.837,52794000.0,128.848,30924.922,30997.698
CurVer.py,,9,0,92.235,1540.1,66,2,16900,16900,7440,23.212,1.815,21.213,54503700.0,130.918,31026.275,31099.051
ablation_de_only.py,DE only,9,0,75.14,97652.2,17520,True,17521,17521,17520,6.94,6.826,0.0,1145320000.0,600.137,40709.921,40782.697
